pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,st_teff,sy_dist
HD 216437 b,HD 216437,Radial Velocity,2002.0,1359.0,13.0,1334.8793094,5909.0,26.6902
HD 82886 b,HD 82886,Radial Velocity,2011.0,705.0,13.3,740.5439,4953.0,127.061
HD 8574 b,HD 8574,Radial Velocity,2002.0,227.0,13.4,645.1949,6064.0,44.8264
HD 86081 b,HD 86081,Radial Velocity,2006.0,2.1378431,13.6,470.3884,5939.0,103.936
HD 37124 d,HD 37124,Radial Velocity,2005.0,1862.0,14.0,221.20968,5698.64,31.6634
HD 9446 c,HD 9446,Radial Velocity,2009.0,192.9,13.4,578.426,5793.0,50.3503
HD 96063 b,HD 96063,Radial Velocity,2011.0,362.5,13.7,403.6441,5020.0,140.065
HD 8673 b,HD 8673,Radial Velocity,2009.0,1644.69097,12.3,4210.59073594,6389.05,37.8619
Kepler-263 b,Kepler-263,Transit,2014.0,16.568087,2.67,7.61,5265.0,754.747
HD 219828 b,HD 219828,Radial Velocity,2007.0,3.83483,4.59,19.06970442,5891.0,73.114
HD 38529 b,HD 38529,Radial Velocity,2000.0,14.3099,14.1,206.58846455,5697.0,42.3538
HD 99492 b,HD 99492,Radial Velocity,2004.0,17.0503,5.44,25.5,4929.0,18.2038
HD 99706 b,HD 99706,Radial Velocity,2011.0,841.0,13.7,390.9309,4862.0,146.6
HIP 14810 d,HIP 14810,Radial Velocity,2009.0,981.8,14.1,187.5197,5544.0,50.48
Kepler-746 b,Kepler-746,Transit,2016.0,3.48159251,1.11,1.41,5418.0,450.0
55 Cnc f,55 Cnc,Radial Velocity,2007.0,260.58,7.59,44.812,5198.0,12.5855
K2-384 d,K2-384,Transit,2022.0,6.679582,1.392,2.52,3623.0,82.6603
HATS-1 b,HATS-1,Transit,2012.0,3.446459,14.594,589.55,5870.0,283.971
HD 40979 b,HD 40979,Radial Velocity,2002.0,264.14999,12.9,1484.2661,6165.0,34.0883
xi Aql b,xi Aql,Radial Velocity,2007.0,136.97,13.4,616.90493799,4841.0,56.1858
OGLE-TR-132 b,OGLE-TR-132,Transit,2004.0,1.689868,13.45,375.02,6210.0,2012.62
K2-385 b,K2-385,Transit,2022.0,2.380867,1.539,2.98,4844.0,420.819
HD 23079 b,HD 23079,Radial Velocity,2001.0,735.74,13.2,845.42356262,5994.0,33.4591
HD 4203 b,HD 4203,Radial Velocity,2001.0,431.88,13.3,708.7609,5596.0,81.3795
HD 43691 b,HD 43691,Radial Velocity,2007.0,36.9987,13.2,810.4665,6093.0,85.6009
HD 41004 B b,HD 41004 B,Radial Velocity,2003.0,1.3283,12.1,5838.29,5036.0,41.5504
tau Boo b,tau Boo,Radial Velocity,1996.0,3.3124568,12.8,1891.0,6466.27,15.6521
K2-386 b,K2-386,Transit,2022.0,7.473223,2.32,5.99,5749.0,428.785
HD 231701 b,HD 231701,Radial Velocity,2007.0,141.63,13.7,359.1479,6101.0,108.877
HD 204313 b,HD 204313,Radial Velocity,2010.0,2041.11539,12.9,1466.7780983,5767.0,47.7945
Kepler-1738 b,Kepler-1738,Transit,2021.0,7.674630165,2.82472883,8.37,6063.0,1302.87
HD 5319 b,HD 5319,Radial Velocity,2007.0,637.1,13.5,494.54348,4871.0,121.405
Pr0201 b,Pr0201,Radial Velocity,2012.0,4.4264,14.2,171.6282,6174.0,180.64
K2-368 d,K2-368,Transit,2022.0,20.201085,1.948,4.45,4663.0,206.608
Pr0211 b,Pr0211,Radial Velocity,2012.0,2.1461,13.4,597.5204,5300.0,182.714
bet Cnc b,bet Cnc,Radial Velocity,2014.0,605.2,12.6,2479.0,4092.1,89.0472
bet UMi b,bet UMi,Radial Velocity,2014.0,522.3,12.7,1938.7,4126.0,38.77472
Kapteyn c,Kapteyn,Radial Velocity,2014.0,121.54,2.54,7.0,3550.0,3.93305
Kepler-754 b,Kepler-754,Transit,2016.0,14.5596237,2.01,4.7,5935.0,1770.27
HD 207832 c,HD 207832,Radial Velocity,2012.0,1155.7,14.0,232.0159,5710.0,58.9291
CoRoT-24 b,CoRoT-24,Transit,2014.0,5.1134,3.7,5.7,4950.0,591.555
CoRoT-24 c,CoRoT-24,Transit,2014.0,11.759,5.0,28.0,4950.0,591.555
HIP 105854 b,HIP 105854,Radial Velocity,2014.0,184.2,12.6,2606.1,4780.0,78.6381
K2-138 c,K2-138,Transit,2017.0,3.56004,2.299,6.31,5356.3,202.585
HATS-63 b,HATS-63,Transit,2018.0,3.0566527,13.529263,305.1168,5627.0,623.232
CoRoT-22 b,CoRoT-22,Transit,2014.0,9.75598,4.88,12.2,5939.0,627.158
TYC 1422-614-1 b,TYC 1422-614-1,Radial Velocity,2014.0,198.4,13.3,794.5,4806.0,672.41
TYC 1422-614-1 c,TYC 1422-614-1,Radial Velocity,2014.0,559.3,12.5,3178.0,4806.0,672.41
BD-11 4672 b,BD-11 4672,Radial Velocity,2014.0,1634.0,14.1,206.5895,4550.0,27.1665
BD+49 828 b,BD+49 828,Radial Velocity,2015.0,2590.0,13.5,508.5,4943.0,442.042
HD 1666 b,HD 1666,Radial Velocity,2015.0,270.0,12.7,2040.0,6317.0,117.908
HD 67087 c,HD 67087,Radial Velocity,2015.0,2374.0,12.9,1540.0,6330.0,76.5217
Kepler-268 b,Kepler-268,Transit,2014.0,25.934138,2.55,7.04,6081.0,851.87
HATS-11 b,HATS-11,Transit,2016.0,3.619188,18.03,263.7989,6563.0,944.603
Kepler-47 c,Kepler-47,Transit,2012.0,303.227,4.65,3.17,5636.0,1025.02
K2-4 b,K2-4,Transit,2015.0,10.003417,2.1,5.06,4014.73,231.828
Kepler-772 b,Kepler-772,Transit,2016.0,12.99207337,1.82,3.97,5714.0,1130.21
K2-384 f,K2-384,Transit,2022.0,13.62749,2.222,5.57,3623.0,82.6603
HD 27631 b,HD 27631,Radial Velocity,2012.0,2198.14,13.5,495.81231492,5737.0,50.2862
HD 24064 b,HD 24064,Radial Velocity,2015.0,535.59998,12.3,4096.8287,4052.0,300.247
K2-21 c,K2-21,Transit,2015.0,15.50192,2.49,6.76,4222.06,83.6448
K2-268 d,K2-268,Transit,2021.0,4.528598,1.49,2.83,5106.0,327.783
HD 98649 b,HD 98649,Radial Velocity,2012.0,5384.0,12.5,3082.9355479,5759.0,42.1727
K2-9 b,K2-9,Transit,2015.0,18.4498,2.25,5.69,3390.0,82.9631
CoRoT-29 b,CoRoT-29,Transit,2015.0,2.85057,10.0881,270.1555,5260.0,806.507
K2-268 e,K2-268,Transit,2021.0,6.131243,1.33,2.33,5106.0,327.783
HATS-39 b,HATS-39,Transit,2018.0,4.5776348,17.59813,200.2329,6572.0,878.521
HU Aqr AB c,HU Aqr,Eclipse Timing Variations,2011.0,4368.0,12.9,1430.235,5952.0,192.19807871
HD 164595 b,HD 164595,Radial Velocity,2015.0,40.0,4.16,16.14,5790.0,28.254
K2-8 b,K2-8,Transit,2015.0,10.35239,3.58,12.5,4870.0,403.513
PH1 b,PH1,Transit,2012.0,138.317,6.18,169.0,6407.0,1033.16
GJ 676 A e,GJ 676 A,Radial Velocity,2012.0,35.47358,2.47,6.67439655,3734.0,16.0272
BD+15 2940 b,BD+15 2940,Radial Velocity,2013.0,137.48,13.7,352.78,4796.0,426.42
HD 2952 b,HD 2952,Radial Velocity,2013.0,312.08,13.9,284.77425267,4853.0,110.103
GJ 667 C e,GJ 667 C,Radial Velocity,2013.0,62.24,1.45,2.7,3350.0,7.24396
tau Gem b,tau Gem,Radial Velocity,2013.0,305.5,12.1,6547.0,4388.0,112.537
GJ 667 C g,GJ 667 C,Radial Velocity,2013.0,256.2,1.99,4.6,3350.0,7.24396
HD 159243 c,HD 159243,Radial Velocity,2013.0,248.4,13.4,603.9,6123.0,73.3055
NGTS-14 A b,NGTS-14 A,Transit,2021.0,3.5357173,4.976796,29.24036,5187.0,322.148
Kepler-36 b,Kepler-36,Transit,2012.0,13.86825,1.498,3.83,5979.0,527.956
Kepler-48 e,Kepler-48,Radial Velocity,2014.0,982.0,13.4,657.0,5194.0,306.738
LHS 1678 b,LHS 1678,Transit,2021.0,0.8602325,0.685,0.35,3490.0,19.8782
HD 4203 c,HD 4203,Radial Velocity,2014.0,6700.0,13.3,689.66,5582.0,81.3795
KOI-984 b,KOI-984,Transit,2022.0,4.2881785,4.3,17.1,5295.0,252.667
NGC 2682 YBP 401 b,NGC 2682 YBP 401,Radial Velocity,2016.0,4.087,14.3,146.2018,6165.0,830.822
GJ 3998 b,GJ 3998,Radial Velocity,2016.0,2.65033,1.39,2.5,3726.0,18.1459
HD 47366 b,HD 47366,Radial Velocity,2016.0,360.08,13.4,661.71874337,4866.0,84.3552
K2-239 b,K2-239,Transit,2018.0,5.24,1.1,1.37,3420.0,31.0849
K2-233 d,K2-233,Transit,2018.0,24.3681,2.363,10.3,4796.0,67.5062
HD 110082 b,HD 110082,Transit,2021.0,10.18271,3.2,10.3,6200.0,105.096
TOI-558 b,TOI-558,Transit,2021.0,14.574071,12.17295304,1147.36054927,6466.0,402.63
K2-243 b,K2-243,Transit,2018.0,11.54182,2.17,5.35,6570.0,266.864
K2-255 b,K2-255,Transit,2018.0,1.96417,2.9,8.75,4676.0,191.608
K2-264 c,K2-264,Transit,2018.0,19.660302,2.668,7.6,3660.0,185.605
HD 211810 b,HD 211810,Radial Velocity,2018.0,1558.0,14.0,212.9461,5652.0,64.6353
Kepler-262 c,Kepler-262,Transit,2014.0,21.853722,1.64,3.33,5841.0,613.129
47 UMa d,47 UMa,Radial Velocity,2009.0,14002.0,13.5,521.22,5872.0,13.7967
HD 111998 b,HD 111998,Radial Velocity,2016.0,810.0,12.9,1525.5763536,6557.0,33.2237
GJ 9827 b,GJ 9827,Transit,2017.0,1.208974,1.44,4.28,4236.0,29.661
HD 95089 c,HD 95089,Radial Velocity,2018.0,1785.0,13.1,1096.5135,4918.0,136.957
K2-368 c,K2-368,Transit,2022.0,9.660186,1.361,2.42,4663.0,206.608
HD 72892 b,HD 72892,Radial Velocity,2016.0,39.44603,12.8,1737.88572948,5688.0,69.7311
HD 128356 b,HD 128356,Radial Velocity,2016.0,298.2,13.9,282.8687,4875.0,26.1548
HD 165155 b,HD 165155,Radial Velocity,2016.0,434.5,13.2,918.5287,5426.0,63.3574
Kepler-761 b,Kepler-761,Transit,2016.0,10.12804789,2.03,4.78,5706.0,830.707
CoRoT-21 b,CoRoT-21,Transit,2012.0,2.72474,14.5717,718.2958,6200.0,1398.83419686
HD 13167 b,HD 13167,Radial Velocity,2018.0,2613.0,13.1,1052.0173,5671.0,148.934
WASP-177 b,WASP-177,Transit,2019.0,3.071722,17.71022,161.45764,5017.0,176.818
K2-339 b,K2-339,Transit,2021.0,19.507428,1.92,4.35,4857.0,360.36
EPIC 220674823 c,EPIC 220674823,Transit,2016.0,13.33989,2.84,7.32,5578.0,244.59
K2-288 B b,K2-288 B,Transit,2018.0,31.393463,1.9,4.27,3341.0,65.6138
TOI-640 b,TOI-640,Transit,2021.0,5.003777,19.2794468,181.16219199,6460.0,341.997
Gl 378 b,Gl 378,Radial Velocity,2019.0,3.822,3.66,13.02,3879.0,14.9545
Kepler-766 b,Kepler-766,Transit,2016.0,6.10027804,3.39,11.4,5992.0,2297.62
K2-107 b,K2-107,Transit,2017.0,3.313959,15.98,266.9772,6061.0,685.2
Kepler-780 b,Kepler-780,Transit,2016.0,0.677375164,0.89,0.64,5769.0,557.652
HD 39855 b,HD 39855,Radial Velocity,2019.0,3.2498,2.85,8.5,5576.0,23.2599
HD 92788 c,HD 92788,Radial Velocity,2019.0,11611.2975,13.0,1166.4361,5744.0,34.6538
K2-224 b,K2-224,Transit,2018.0,4.47904,1.56,3.05,5620.0,275.255
EPIC 205950854 c,K2-168,Transit,2019.0,8.050722,1.31,2.27,5502.7,243.935
EPIC 206032309 b,EPIC 206032309,Transit,2019.0,2.87814,1.01,1.01,3489.0,161.365
K2-228 b,K2-228,Transit,2018.0,2.69828,1.21,1.92,4715.0,129.46
K2-229 b,K2-229,Transit,2018.0,0.584216,1.0,2.55,5315.0,102.564
TYC 4282-00605-1 b,TYC 4282-00605-1,Radial Velocity,2017.0,101.54,12.4,3426.2074,4300.0,464.128
HD 206255 b,HD 206255,Radial Velocity,2019.0,96.045,6.47,34.2,5635.0,75.2363
Kepler-411 e,Kepler-411,Transit Timing Variations,2018.0,31.509728,3.28,10.8,4974.0,153.676
Kepler-454 c,Kepler-454,Radial Velocity,2015.0,524.19,12.9,1433.40611557,5687.0,230.869
psi1 Dra B b,psi1 Dra B,Radial Velocity,2015.0,3117.0,13.5,486.2799,6212.0,22.7188
Kepler-758 b,Kepler-758,Transit,2016.0,12.1097104,2.48,6.71,6228.0,1502.32
HD 208897 b,HD 208897,Radial Velocity,2017.0,358.27,13.7,379.48711796,4860.0,67.4872
K2-128 b,K2-128,Transit,2017.0,5.675819,1.42,2.6,4469.51,114.637
K2-129 b,K2-129,Transit,2017.0,8.239493,1.04,1.12,3459.09,27.7957
GJ 625 b,GJ 625,Radial Velocity,2017.0,14.628,1.49,2.82,3499.0,6.47249
HATS-76 b,HATS-76,Transit,2021.0,1.9416423,12.09449018,835.570882,4016.0,385.689
HATS-77 b,HATS-77,Transit,2021.0,3.0876262,13.05846252,436.69623122,4071.0,436.176
Wolf 1061 d,Wolf 1061,Radial Velocity,2015.0,217.21,2.69,7.7,3342.0,4.30592
Wolf 1061 b,Wolf 1061,Radial Velocity,2015.0,4.8869,1.21,1.91,3342.0,4.30592
HD 34445 d,HD 34445,Radial Velocity,2017.0,117.87,6.07,30.7,5836.0,46.0907
K2-343 c,K2-343,Transit,2021.0,7.676972,2.02,4.74,3804.0,166.169
HD 33844 b,HD 33844,Radial Velocity,2015.0,551.40002,13.4,638.8383,4861.0,105.779
KELT-17 b,KELT-17,Transit,2016.0,3.0801716,17.093725,416.3573,7454.0,226.5
HD 113996 b,HD 113996,Radial Velocity,2017.0,610.2,12.7,2002.329,4181.0,116.334
HD 147379 b,HD 147379,Radial Velocity,2017.0,86.58,4.94,21.6,4090.0,10.7643
HD 143105 b,HD 143105,Radial Velocity,2016.0,2.1974,13.7,384.5743,6380.0,46.7789
HD 35759 b,HD 35759,Radial Velocity,2016.0,82.467,13.0,1195.0408,6060.0,71.2423
Pr0211 c,Pr0211,Radial Velocity,2016.0,4850.0,12.6,2475.8957,5300.0,182.714
Kepler-65 e,Kepler-65,Radial Velocity,2019.0,258.8,13.9,260.0,6220.0,303.728
K2-352 c,K2-352,Transit,2021.0,8.234885,1.92,4.35,5791.0,176.051
TOI-2109 b,TOI-2109,Transit,2021.0,0.67247414,15.098497,1595.49860314,6540.0,262.041
HD 191806 b,HD 191806,Radial Velocity,2016.0,1603.38923,12.5,2966.61035094,6010.0,65.6668
BD+48 740 b,BD+48 740,Radial Velocity,2018.0,733.0,13.5,540.311,4534.0,666.589
K2-148 c,K2-148,Transit,2018.0,6.9226,1.73,3.64,4079.0,124.458
K2-149 b,K2-149,Transit,2018.0,11.332,1.64,3.33,3745.0,123.676
KPS-1 b,KPS-1,Transit,2018.0,1.706291,11.54527,346.4347,5165.0,262.706
